QA spot-check (Aug 2026): diverse Wikidata name-match enrichment (pass 1)
  1,283 POIs enriched via cached SPARQL index (2,858 items): 499 exact + 784 containment
  Containment guards: >=2 name tokens, item geolocated <=100km from POI.
  Thumbnails (640px via Special:FilePath?width=640) hosted on ATHAR MinIO 127.0.0.1:19000.

First 200 enriched POIs (name | category | featured | attribution):
  Bibliothèque martyr El Aïd Bouabboub – commune de Chéniguel | cultural | - | Wikidata Q2962653 (cheniguel) containment, image Chniguel.JPG
  Bibliothèque martyr Haouassine Kaci – commune de Chahbounia | cultural | - | Wikidata Q2947598 (chahbounia) containment, image Chahbounia%20%D8%A7%D9%84%D8%B4%D9%87%D8%A8%D9%88%D9%86%D9%8A%D8%A9.jpg
  Bibliothèque martyr Tafift Ahmed Derrag | cultural | - | Wikidata Q3023970 (derrag) containment, image Derrag%20-%20ent%C3%A9e%20sud%20%D8%AF%D8%B1%D8%A7%D9%82.jpg
  Bibliothèque nationale d'El Hamma | cultural | - | Wikidata Q3126479 (hamma) containment, image Photo%20el%20hamma%2021042018.jpg
  Bibliothèque principale de la Lecture Publique, Relizane | cultural | - | Wikidata Q236758 (relizane) containment, image Alg%C3%A9rie%202006%20049.JPG
  Bibliothèque principale de la lecture publique martyr Maamri Ali Ben Said Souk Ahras | cultural | - | Wikidata Q236772 (souk ahras) containment, image %D9%85%D9%86%D8%B8%D8%B1%20%D8%B9%D8%A7%D9%85%20%D9%84%D9%85%D8%AF%D9%8A%D9%86%D8%A9%20%D8%B3%D9%88%D9%82%20%D8%A3%D9%87%D8%B1%D8%A7%D8%B3.jpg
  Bibliothèque principale de lecture publique Beradaï Ahmed – Tamanrasset | cultural | - | Wikidata Q205792 (tamanrasset) containment, image Rue%20de%20tamanrasset%2001.jpg
  Bibliothèque principale de lecture publique Boussam Mohamed – wilaya de Bordj Bou Arreridj | cultural | - | Wikidata Q266411 (bordj bou arreridj) containment, image Bibanar.jpg
  Bibliothèque principale de lecture publique Docteur Boubekeur Benali – wilaya de Béchar | cultural | - | Wikidata Q638704 (bechar) containment, image Gourai.jpg
  Bibliothèque principale de lecture publique Moudjahid Rabah Saïdani – wilaya de Bouira | cultural | - | Wikidata Q722522 (bouira) containment, image BOUIRA.jpg
  Bibliothèque principale de lecture publique de Constantine | cultural | - | Wikidata Q187346 (constantine) containment, image Magnia.jpg
  Bibliothèque principale de lecture publique de Skikda | cultural | - | Wikidata Q2292517 (skikda) containment, image Centre%20ville%20Skikda.jpg
  Bibliothèque principale de lecture publique de Tizi-Ouzou | cultural | - | Wikidata Q277201 (tiziouzou) containment, image Tizi%20Ouzou.JPG
  Bibliothèque principale de lecture publique de Tébessa (annexe d'El Aouinet) | cultural | - | Wikidata Q984575 (tebessa) containment, image T%C3%A9bessa%20Province.jpg
  Bibliothèque principale de lecture publique de Tébessa – annexe d'El Hammamet | cultural | - | Wikidata Q984575 (tebessa) containment, image T%C3%A9bessa%20Province.jpg
  Bibliothèque principale de lecture publique de Tébessa – annexe de Ras El Aïoun | cultural | - | Wikidata Q984575 (tebessa) containment, image T%C3%A9bessa%20Province.jpg
  Bibliothèque principale de lecture publique de la wilaya d'El Bayadh | cultural | - | Wikidata Q235703 (wilaya del bayadh) containment, image El%20bayadh%2C%20centre%20ville%20%2C%20moment%20de%20la%20neige.jpg
  Bibliothèque principale de lecture publique de la wilaya de Batna | cultural | - | Wikidata Q215452 (batna) containment, image The%20headquarters%20of%20the%20wilaya%20of%20Batna.jpg
  Bibliothèque principale de lecture publique de la wilaya de Ghardaïa | cultural | - | Wikidata Q622841 (ghardaia) containment, image Ksar%20Ghardaia%20place%20march%C3%A9%201.jpg
  Bibliothèque principale de lecture publique de la wilaya de Ouargla | cultural | - | Wikidata Q235709 (wilaya de ouargla) containment, image Benaceur.JPG
  Bibliothèque principale de lecture publique de la wilaya de Tébessa | cultural | - | Wikidata Q984575 (tebessa) containment, image T%C3%A9bessa%20Province.jpg
  Bibliothèque principale de lecture publique – annexe de Tébessa | cultural | - | Wikidata Q984575 (tebessa) containment, image T%C3%A9bessa%20Province.jpg
  Bibliothèque rurale de Sidi Ziane – Tadjena – martyr Fouka Seddik | cultural | - | Wikidata Q1650025 (tadjena) containment, image Tadjena%20%28le%2011-05-2007%29.jpg
  Bibliothèque rurale de lecture publique Moudjahid Gouigah Mostefa – Ben Merzouga, Boudouaou | cultural | - | Wikidata Q311984 (boudouaou) containment, image Photo%20marche%20boudouaou%2003062016.jpg
  Bibliothèque rurale de lecture publique Zahra Khattab – village Omar, Bordj Menaïel | cultural | - | Wikidata Q2910781 (bordj menaiel) containment, image Bordj%20M%C3%A9naiel.jpg
  Bibliothèque semi-urbaine Mouloud Kacem Naït Belkacem – Corso | cultural | - | Wikidata Q2998044 (corso) containment, image Tidjellabine%20-%20panoramio.jpg
  Bibliothèque semi-urbaine de Zahana – martyr Brahimi Mohamed | cultural | - | Wikidata Q1650864 (zahana) containment, image Mairie%20de%20Zahana.jpg
  Bibliothèque semi-urbaine de la daïra de Naciria – wilaya de Boumerdès | cultural | - | Wikidata Q6957278 (naciria) containment, image Iraf%C6%90en%20-%20A%C3%AFt%20Bourouba%20-%20Ie%C9%A3mracen.jpg
  Bibliothèque urbaine de Guelma | cultural | - | Wikidata Q609871 (guelma) containment, image GM%20Guelma%20Center01.jpg
  Bibliothèque urbaine de Mascara – Moudjahid feu Dahou Meziane | cultural | - | Wikidata Q236776 (mascara) containment, image Les%20Monts%20Beni-Chougrane.jpg
  Bibliothéque principale de la lecture publique de la wiulaya de Bejaia | cultural | - | Wikidata Q59975 (bejaia) containment, image B%C3%A9jaia%20%D8%A8%D8%AC%D8%A7%D9%8A%D8%A9%2011.jpg
  Bordj El Mokrani | historical | - | Wikidata Q109017607 (bordj el mokrani) exact, image Bordj%20El%20Mokrani%20%D8%A8%D8%B1%D8%AC%20%D8%A7%D9%84%D9%85%D9%82%D8%B1%D8%A7%D9%86%D9%8A%20-%20%D8%A8%D8%B1%D8%AC%20%D8%A8%D9%88%D8%B9%D8%B1%D9%8A%D8%B1%D9%8A%D8%AC.jpg
  Bordj El Mokrani | historical | - | Wikidata Q109017607 (bordj el mokrani) exact, image Bordj%20El%20Mokrani%20%D8%A8%D8%B1%D8%AC%20%D8%A7%D9%84%D9%85%D9%82%D8%B1%D8%A7%D9%86%D9%8A%20-%20%D8%A8%D8%B1%D8%AC%20%D8%A8%D9%88%D8%B9%D8%B1%D9%8A%D8%B1%D9%8A%D8%AC.jpg
  Bordj El Mokrani | historical | - | Wikidata Q109017607 (bordj el mokrani) exact, image Bordj%20El%20Mokrani%20%D8%A8%D8%B1%D8%AC%20%D8%A7%D9%84%D9%85%D9%82%D8%B1%D8%A7%D9%86%D9%8A%20-%20%D8%A8%D8%B1%D8%AC%20%D8%A8%D9%88%D8%B9%D8%B1%D9%8A%D8%B1%D9%8A%D8%AC.jpg
  Bordj Moussa | museum | - | Wikidata Q124425851 (bordj moussa museum) containment, image Bordj%20Moussa.jpeg
  Bordj de Tamentfoust | historical | - | Wikidata Q3514786 (tamentfoust) containment, image Tamentfoust-vue-port.jpg
  Bordj de Tarat | historical | - | Wikidata Q13365972 (bordj de tarat) exact, image Fort%20Tarat.jpg
  Bordj el Hamraïa | historical | - | Wikidata Q3126588 (hamraia) containment, image Hamra%C3%AFa.JPG
  Bordj turc de Tizi-Ouzou | historical | - | Wikidata Q277201 (tiziouzou) containment, image Tizi%20Ouzou.JPG
  Bosquet | natural | - | Wikidata Q3125557 (bosquet) exact, image Hadjadj.JPG
  Bosquet plage Hadjadj | beach | - | Wikidata Q3125557 (bosquet) containment, image Hadjadj.JPG
  Bou Haroun Fish | restaurant | - | Wikidata Q2921597 (bou haroun) containment, image Bou%20Haroun.jpg
  Bougie Grillades | restaurant | - | Wikidata Q59975 (bougie) containment, image B%C3%A9jaia%20%D8%A8%D8%AC%D8%A7%D9%8A%D8%A9%2011.jpg
  Bougie de Tizi Ouzou | historical | - | Wikidata Q60851448 (bougie de tizi ouzou) exact, image Le%20monument%20de%20la%20bougie%20a%20tizi%20ouzou.jpg
  Bourouba | restaurant | - | Wikidata Q2215522 (bourouba) exact, image Photo%20cite%20el%20istiqlal%20bourouba%2028052016.jpg
  Bouzegza | mountain | - | Wikidata Q28716895 (bouzegza) exact, image Mont%20Bouzegza%20vue%20du%20village%20zouggara.JPG
  Burj Boghni (Turc) | historical | - | Wikidata Q1649016 (boghni) containment, image Boghni%20devant%20le%20Djurdjua.jpeg
  Burj Boghni (Turc) | historical | - | Wikidata Q1649016 (boghni) containment, image Boghni%20devant%20le%20Djurdjua.jpeg
  CAFE ARRET REDJAOUNA | cafe | - | Wikidata Q21656807 (redjaouna) containment, image Redjaouna%20vue%20techt.jpg

Total enriched: 1283 (all 69 wilayas; 65 featured)
